# role	stem	baseline_score
# selection: worst 50 + all >90 (cap 10) + next-highest fill to 10 controls
worst	source__Strict01	33.4267759468
worst	source__ole_object	33.4267759468
worst	source__strict01_sdt_controls	33.4267759468
worst	source__word_clean_strict01	33.4270988811
worst	source__docx_lots_of_comments_addition_removal_redline_removal_v_addition	36.1349300693
worst	source_randomized__file_27	36.1353421358
worst	source__docx_lots_of_comments_addition	37.4438597673
worst	source__docx_lots_of_comments_addition_redline	37.4438597673
worst	source__docx_lots_of_comments_addition_removal_redline	37.4438597673
worst	source__docx_lots_of_comments_addition_removal	37.4721021871
worst	source_randomized__file_6	37.5018648436
worst	source_randomized__file_53	37.5030626317
worst	source_randomized__file_74	37.5037823794
worst	source_randomized__file_9	37.5282202402
worst	source__docx_lots_of_comments_addition_redline_addition_v_removal	37.7756094280
worst	source_randomized__file_16	37.8350900584
worst	source_randomized__file_22	39.4734626625
worst	source__sd_2517_localized_heading_styles	39.4744728181
worst	source__sample_document_word_repair_of_our_output_iter2_word_repaired_2	39.7437140779
worst	source__docx_lots_of_comments	40.0267507759
worst	source_randomized__file_131	40.0947218390
worst	source__I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you	40.2557040566
worst	source__mcdoc	40.3904925396
worst	source_randomized__file_146	40.5016222379
worst	source_randomized__file_8	40.7334513306
worst	source__word_tolerated_misplaced_uipriority	41.1608645065
worst	source__image_out_of_folder	41.2006254263
worst	source_randomized__file_48	41.2006254263
worst	source_randomized__file_170	41.5883973969
worst	source_randomized__file_34	42.4577113294
worst	source__table_bookmark_end	42.4693188187
worst	source__potpourritest	42.6148009606
worst	source__sample_document_word_repair_of_our_output_iter2_word_repaired	42.7321716473
worst	source__eigenpal_docx_editor_suggesting_mixed_edits	42.8107904624
worst	source__sample_document_afterword_repaired_word_repaired	42.8107904624
worst	source__sample_document_really_repaired_word_repaired	42.8167304707
worst	source__sample_document_word_repair_of_our_output_word_repaired	42.8167304707
worst	source__sample_document_word_repair_of_our_output_word_repaired_2	42.9907256311
worst	source_randomized__file_134	43.1336268191
worst	source__eigenpal_docx_editor_suggesting_mixed_edits_2	43.2922265851
worst	source_randomized__file_175	43.3084896206
worst	source_randomized__file_176	43.7200816560
worst	source__Redline_CiceroDo_v_plate_30	44.8055342931
worst	source_randomized__file_100	45.0718412104
worst	source_randomized__file_115	45.0737710647
worst	source_randomized__file_185	45.0740177569
worst	source_randomized__file_196	45.0740199261
worst	source_randomized__file_19	45.6613173363
worst	source_randomized__file_69	45.6776581126
worst	source_randomized__file_78	45.8311369768
gt90	source__gdocs_comments_export	93.8348993341
gt90	source__comments	92.9469165441
gt90	source__subtitle_style_demo_id_paraid_overflow	92.6932915122
gt90	source_randomized__file_61	91.1162039890
gt90	source__red_bold_heading_demo_style_default_missing	90.0976582605
gt90	source__font_color_blue_demo_style_default_missing	90.0149904662
next_highest_fill	source__green_underline_bullet_list_id_paraid_overflow	89.7952122441
next_highest_fill	source_randomized__file_135	89.4026583376
next_highest_fill	source__red_heading_demo_id_paraid_overflow	88.9518187966
next_highest_fill	source__subtitle_style_demo_style_default_missing	88.3524223410
